timestamp,ping_ms,datarate,jitter,Latitude,Longitude,Altitude,speed_kmh,COG,precipIntensity,precipProbability,temperature,humidity,windSpeed,Traffic Jam Factor,Traffic Distance,Pos in Ref Round,measurement,area,PCell_RSRP_max,PCell_RSRQ_max,PCell_RSSI_max,PCell_SNR_1,PCell_SNR_2,PCell_Downlink_Num_RBs,PCell_Downlink_TB_Size,PCell_Downlink_Average_MCS,PCell_Uplink_Num_RBs,PCell_Uplink_TB_Size,PCell_Uplink_Tx_Power_(dBm),PCell_Downlink_frequency,PCell_Downlink_bandwidth_MHz,PCell_Uplink_bandwidth_MHz,PCell_Band_Indicator,PCell_freq_MHz,scenario,target_datarate,operator,PCell_DL_RBs_MCS_Low,PCell_DL_RBs_MCS_Mid,PCell_DL_RBs_MCS_High,device_pc1,device_pc2,device_pc3,device_pc4,direction_uplink,measured_qos_delay,hour,day_of_week,date,sin_COG,cos_COG,jitter_log,source
2021-06-22 15:24:16+02:00,3.3638415951183864,12.90669432231532,0.00185,52.49478333333333,13.28451,39.47685623168945,2.1931719320068583,282.2,0.0,0.0,21.58,0.61,2.39,8.95054,3.8568884770180727,9.141725540161133,2,Tunnel,-102.115,-8.34,-75.795625,14.74400001525879,13.98700002670288,6.748759547491679,10.927537919877333,24.0,5.863631175598097,9.872667455196241,2.7116365767334374,1801.0,20.0,20.0,3.0,1800.0,A2D,12.899222326086994,1,1.6094379124341003,1.6094379124341003,6.739336627357174,0,0,1,0,0,1,15,1,2021-06-22,-0.9774158942860959,0.21132479645538854,0.0018482908576176174,REAL_BEFORE
2021-06-22 15:24:17+02:00,3.520460802488973,12.884108726347916,0.0022229999999999997,52.49478666666667,13.284478333333333,40.59856033325195,2.1931719320068583,282.2,0.0,0.0,21.58,0.61,2.39,8.27925,3.821519878339424,9.142356872558594,2,Tunnel,-103.018125,-7.7925,-77.705625,15.865000019073486,15.02500005722046,6.692083742506628,10.846050137149113,24.0,6.22455842927536,10.036224879974322,2.785678353670684,1801.0,20.0,20.0,3.0,1800.0,A2D,12.899222326086994,1,1.6094379124341003,0.0,6.687108607866515,0,0,1,0,0,1,15,1,2021-06-22,-0.9774158942860959,0.21132479645538854,0.0022205327912268543,REAL_BEFORE
2021-06-22 15:24:18+02:00,3.4242626545931514,12.90669432231532,0.000852,52.494791666666664,13.284446666666666,41.1170654296875,2.1931719320068583,282.2,0.0,0.0,21.58,0.61,2.39,8.27925,3.852697143534609,9.155333518981934,2,Tunnel,-102.3,-7.285,-77.235625,16.363999996185303,15.998000059127808,6.8885724595653635,11.102683968056724,24.0,6.522092798170152,10.089136899422757,2.8719940408589335,1801.0,20.0,20.0,3.0,1800.0,A2D,12.899222326086994,1,1.6094379124341003,0.0,6.884486652042782,0,0,1,0,0,1,15,1,2021-06-22,-0.9774158942860959,0.21132479645538854,0.0008516372540250916,REAL_BEFORE
2021-06-22 15:24:19+02:00,3.414442608412176,12.90669432231532,0.003997,52.494795,13.284415,40.46402359008789,2.1931719320068583,282.2,0.0,0.0,21.58,0.61,2.39,8.27925,3.885097220945593,9.148674964904785,2,Tunnel,-103.66125,-7.7825,-78.226875,14.95600001335144,14.469000024795532,6.851184927493743,11.078520612964356,26.0,5.905361848054571,9.800568498528287,2.7369459380075276,1801.0,20.0,20.0,3.0,1800.0,A2D,12.899222326086994,1,1.6094379124341003,0.0,6.846943139585379,0,0,1,0,0,1,15,1,2021-06-22,-0.9774158942860959,0.21132479645538854,0.003989033217264464,REAL_BEFORE
2021-06-22 15:24:20+02:00,3.3568971227655755,12.884108726347916,0.003085,52.4948,13.284383333333333,40.013038635253906,2.1931719320068583,282.2,0.0,0.0,21.58,0.61,2.39,8.27925,3.9143818147061933,9.133166313171387,2,Tunnel,-104.180625,-8.24375,-77.76375,13.36099998474121,13.483999996185302,6.911747300251674,10.999914120923716,22.0,6.309918278226516,10.028621283292894,2.815000361695671,1801.0,20.0,20.0,3.0,1800.0,A2D,12.899222326086994,1,4.6443908991413725,0.0,6.803505257608338,0,0,1,0,0,1,15,1,2021-06-22,-0.9774158942860959,0.21132479645538854,0.0030802511517910585,REAL_BEFORE
2021-06-22 15:24:21+02:00,3.4277827739715576,12.774176597595215,0.0011838109930977225,52.49943923950195,13.292778968811035,40.290016174316406,2.173759698867798,282.4232482910156,0.0021683804225176573,0.002267742995172739,21.46586036682129,0.6202813386917114,2.344513416290283,7.4901604652404785,3.76064133644104,8.979201316833496,2,,-100.14859008789062,-8.651406288146973,-76.32329559326172,14.748811721801758,9.764808654785156,6.572081565856934,10.871936798095703,23.0,6.654367923736572,10.09962272644043,2.674389123916626,1801.0,20.0,20.0,3.0,1800.0,,12.708555221557617,1,2.7003893852233887,0.8220289349555969,6.643090724945068,0,0,1,0,0,1,15,2,,-0.9591054320335388,0.21128106117248535,0.0011831108713522553,GENERATED
2021-06-22 15:24:22+02:00,3.414557933807373,12.764654159545898,0.002048077527433634,52.499820709228516,13.292448043823242,38.66767883300781,1.822615623474121,291.55523681640625,0.0038955588825047016,0.003707323456183076,21.354820251464844,0.621394693851471,2.341923713684082,6.618005275726318,3.6560163497924805,8.977331161499023,2,,-100.03495788574219,-8.676712989807129,-76.39179229736328,14.721921920776367,9.519960403442383,6.537095069885254,10.848730087280273,23.0,6.61575984954834,10.069890022277832,2.6266493797302246,1801.0,20.0,20.0,3.0,1800.0,,12.696815490722656,1,2.6810128688812256,0.6744566559791565,6.671227931976318,0,0,1,0,0,1,15,2,,-0.8831716179847717,0.3488743305206299,0.0020459832157939672,GENERATED
2021-06-22 15:24:23+02:00,3.4051461219787598,12.757676124572754,0.0020480849780142307,52.500797271728516,13.291303634643555,37.90379333496094,0.8261546492576599,304.55096435546875,0.005178750026971102,0.004428624641150236,21.24243927001953,0.6227907538414001,2.3494951725006104,5.911559104919434,3.553563356399536,8.979280471801758,2,,-99.80575561523438,-8.846390724182129,-75.9981460571289,14.886032104492188,9.683606147766113,6.497463703155518,10.835563659667969,23.0,6.629897594451904,10.09522819519043,2.6153931617736816,1801.0,20.0,20.0,3.0,1800.0,,12.678566932678223,1,2.7005343437194824,0.5827582478523254,6.659266948699951,0,0,1,0,0,1,15,2,,-0.7438549995422363,0.5122121572494507,0.002045990666374564,GENERATED
2021-06-22 15:24:24+02:00,3.405097484588623,12.756705284118652,0.002456668997183442,52.5020637512207,13.28969669342041,37.734153747558594,0.33754631876945496,316.0108642578125,0.007026082836091518,0.005402170121669769,21.131860733032227,0.6240359544754028,2.3643550872802734,5.340546131134033,3.448580741882324,8.978400230407715,2,,-99.61597442626953,-9.0026273727417,-75.64777374267578,15.031564712524414,9.876372337341309,6.4711103439331055,10.839566230773926,23.0,6.631065845489502,10.114179611206055,2.604905843734741,1801.0,20.0,20.0,3.0,1800.0,,12.672612190246582,1,2.672015428543091,0.3829239010810852,6.69644832611084,0,0,1,0,0,1,15,2,,-0.6103971004486084,0.63232421875,0.0024536566343158484,GENERATED
2021-06-22 15:24:25+02:00,3.4046177864074707,12.759454727172852,0.002728024497628212,52.50278091430664,13.288156509399414,37.36265563964844,0.38942667841911316,321.91009521484375,0.008793522603809834,0.0064106350764632225,21.02312660217285,0.6253256797790527,2.3826992511749268,4.8493332862854,3.316532850265503,8.979097366333008,2,,-99.38348388671875,-8.99154281616211,-75.4789047241211,15.143433570861816,9.95051097869873,6.442359447479248,10.829658508300781,24.0,6.638911247253418,10.141942977905273,2.5889203548431396,1801.0,20.0,20.0,3.0,1800.0,,12.676804542541504,1,2.615978956222534,0.3152955174446106,6.713439464569092,0,0,1,0,0,1,15,2,,-0.5235893130302429,0.6680004596710205,0.002724310150370002,GENERATED
