epoch,train_loss,val_loss,epoch_time
1,0.23025746624949994,0.15675416927446018,85.92496299743652
2,0.15098081738978572,0.13854256053724565,79.37959861755371
3,0.1411155894690869,0.12525507943196731,121.55808186531067
4,0.13434149873394804,0.12448856662497047,131.5053105354309
5,0.1298783887941357,0.11606644528094402,103.38557362556458
6,0.12658077133105614,0.10992596181463604,105.20305275917053
7,0.12411161918531764,0.10705806256448927,115.9285786151886
8,0.12207672213753702,0.1022440974931579,94.29620265960693
9,0.12025452658879353,0.10585780013814446,87.80206203460693
10,0.11972079501751272,0.10131935181080802,101.939621925354
11,0.11834796925810781,0.10346656517425845,85.10995244979858
12,0.11736786680266181,0.10497184294807024,123.71504282951355
13,0.11693872005384874,0.10555834332404058,189.4793860912323
14,0.11646417557608847,0.10151902589300447,157.43862390518188
15,0.11589619817474521,0.10078076577999374,98.53115153312683
16,0.11549944224735845,0.10073753132307825,90.63221478462219
17,0.11511683858492795,0.10189697863764999,133.6474153995514
18,0.1144405860659698,0.10417966141311591,111.62261629104614
19,0.11425479344771296,0.10096680536127288,90.99952840805054
20,0.11397385010213563,0.1039941834886212,129.23228812217712
21,0.11356100187688375,0.10263906834908754,109.77494597434998
22,0.11295208013525196,0.09931320062846191,83.41619801521301
23,0.11285432977950509,0.10105549630301058,104.24380660057068
24,0.11303264795140149,0.09967383388275942,161.0626780986786
25,0.11248433272521977,0.10119813366616068,115.3356442451477
26,0.11240384122107756,0.10211561672574232,96.17074966430664
27,0.11204707487062975,0.1012118031724918,88.41149258613586
28,0.11157607457163925,0.10834259034927227,129.24369597434998
29,0.1099605327223074,0.10125015232681243,99.38309717178345
30,0.10987865814603799,0.10286787746489541,101.00689387321472
31,0.10961427857000347,0.10395425157852409,117.91040515899658
32,0.10958416182248988,0.10213511661926578,92.02857446670532
33,0.10936709121533682,0.1023415285201112,83.1808762550354
34,0.10887370036778815,0.10603555944586589,97.52265882492065
35,0.10812709890903636,0.10495081885663932,80.99977731704712
36,0.10807959075333175,0.10798105957710054,122.14501929283142
37,0.10777758942408995,0.10690641698758464,100.35525226593018
